Id,InDegree,OutDegree,Degree,ModularityClass,Tags,Urls
3b2c12b4-6029-4ebf-8572-4beacbc57be3,8,2,10,D,,http://bluetouff.com
aab85e43-caf8-4817-b840-5fc302addfd4,23,76,99,B,subsist law,http://www.centpapiers.com
3c9ca2e0-5811-4267-8dd0-22d250956ef5,1,0,1,E,,http://www.citoyensmilitants.fr
5ad8072e-f882-49ba-8fb5-d2b1526fc971,34,98,132,A,,http://cdurable.info
47beccad-9140-49df-b7d6-048d8ab2b317,90,3,93,B,,http://levif.be http://levif.be/actualite
29fea3e9-24bd-4645-be58-74fbc96848af,66,6,72,B,,http://mesopinions.com http://mesopinions.com/fr
92ed2492-ff52-4e3b-a372-c30238a90eac,13,13,26,B,,http://lalettrevolee.net
a0a6f1c7-2cb3-4c1b-8c76-b2dd98b10ddd,14,4,18,D,map,http://lacoroutine.org
12e6c7b8-0825-43e8-a54c-8759c67f8987,0,2,2,NC,,http://www.leszillusdemissbean.com
53edb9c9-e0f6-4799-aaeb-613c8eb906f3,0,0,0,NC,group,http://www.e-constituante.com/le-projet/
411bb15b-a070-4c20-8e62-46ffdd005d72,1,0,1,A,space creation @idf,http://graffiterie.org
a3cc6659-fba2-423d-9e3d-4042ea049796,3,25,28,A,,http://www.underconstruction.fr/?page_id=1493
0a512bd4-8b13-4024-9f6c-975ef78a23f9,0,0,0,NC,,http://www.wearealwayslistening.com
c4fd2a70-c386-46b9-a350-b5c9b38cc1db,0,3,3,C,,http://www.cluetrain.com/manifeste.html
6d36c24f-11f8-46d6-a846-a5d147cb18bc,8,1,9,B,creation,http://bureaudetudes.org
0a62e833-3528-47e3-bc29-9567600fc346,22,4,26,C,,http://tahin-party.org
ee597ca3-e3c4-42a5-a1bc-b073e1bf8ea7,23,8,31,D,politics,http://bienscommuns.org/signature/appel/index.php?a=du&c=qsudxs
b6074abb-62c0-4c0a-95d1-14373c5f088d,2,1,3,F,,http://passansnous.fr/charte/
bbe08af9-2968-4924-b35f-18b2cdd89d41,5,16,21,B,group,http://www.mouv1d.fr/manifeste/
e31555d6-e0b4-466c-8b77-7343b9be00d3,35,0,35,D,web,https://duckduckgo.com
c33a1ced-3c7b-449f-a24b-057ae82ef180,224,68,292,B,media group law,http://www.acrimed.org
dd42c6c9-25e6-4c98-8149-5b12c087cf6a,9,22,31,B,web,http://ggouv.fr
ee7b3328-ebb2-4772-a4c0-d4220720800f,0,1,1,D,,https://medium.com/@nicolasvoisin/le-manifeste-des-anarnautes-48cc0a5076bc
495d6ccd-e5b3-47ca-90d9-e863545595fc,0,1,1,B,,http://www.dailymotion.com/video/xtrtht
27038f1b-93e6-41ac-86aa-b0cd6902d4b1,3,11,14,A,act,http://beautifultrouble.org
c149e798-a886-4967-8e4c-dd8f8a2b38c1,5,50,55,A,map list,http://capoupascap.paris
4cc6adca-5872-402d-aa7b-d2d2b5d754a9,1,3,4,E,,http://elanglobal.org
59ac07a6-17a8-43fc-80a7-7ff045985c51,1,49,50,D,,https://15mpedia.org
925e202e-fe71-449e-9885-1ff857b30fbc,4,5,9,A,,http://www.mouvement-zeitgeist.fr/agir/individuellement/charte-du-mouvement
8488bd0f-d50f-4e0c-83a1-2dd6d29a054c,6,0,6,D,,http://reseauculture21.fr/amacca/le-reseau/
2e5cfa40-85a6-44be-bde3-b2141ba60eaf,5,7,12,A,media video,http://www.reporter-citoyen.fr
2810a095-43ac-4eb9-96f1-ca5a28be23a0,19,4,23,A,,http://www.slowfood.fr/slow-food-en-france
17a23ccc-03aa-47d8-930a-d0e208dd9c38,14,11,25,B,video,http://www.pierrecarles.org
c283fe79-6120-4387-b45e-7c5d3de3a6d4,30,26,56,C,,https://guide.boum.org
9c7d00eb-c0d0-48a0-b0d6-46b7a4e153ed,7,11,18,A,media,http://zangomedia.fr
dc174ce9-556f-44dc-97ac-b1c05fe422a7,1,0,1,B,map,https://www.google.com/maps/d/embed?mid=zObc46bS4Jts.kM-SMEA0C_m8
538ac740-1b91-464c-bf5a-7efe5a5953fb,26,2,28,B,politics,https://www.m6r.fr
95a0acca-6d66-4571-8461-2e056cb90e9a,2,7,9,A,,http://www.ecosocietal.org/articles.php?lng=fr&pg=18
7ae978d7-f9e2-48e9-9a76-207d2d1f5064,7,33,40,E,slow,http://www.decroissance.qc.ca/manifeste
cb23d909-073e-4cf3-9211-b3a6653e293a,1,0,1,A,video,https://vimeo.com/37089032
5a85ec9b-1d7a-4e5d-a09b-661a157b38d2,1,1,2,A,object,http://www.jedonne.org
0cf251e4-90fa-49a5-93f8-99e848e8d074,2,7,9,F,,http://www.alliancecitoyenne-38.fr/le-projet-2/lassociation/
95564e52-8876-4c6c-ad53-6f1399740a43,5,11,16,D,creation,http://www.les-saprophytes.org/index.php?cat=sapro
e07ba353-4dd9-4ca4-b03b-400c38240165,33,3,36,C,text,http://www.lyber-eclat.net/lyber/bolo/bolo.html
8c1a8d85-46a8-4422-af8a-2d5b9eec8bf5,66,15,81,D,web,https://www.torproject.org
07719734-4589-4c3d-8045-2dbb947f0e8c,0,7,7,A,,https://abecedaireduchangement.wordpress.com/2012/05/11/avant-propos-2/
e77a3ec0-f037-4bea-9373-3938730c0100,48,27,75,A,economy,http://monnaie-locale-complementaire.net/france/
5f06df73-aceb-4b01-935e-11f2ae9a14aa,2,2,4,A,creation,http://www.commeunpoissondanslart.fr
5579fddd-af02-459e-87bb-303122267e62,12,0,12,E,media,http://www.les-indignes-revue.fr
72eb02f7-966d-47e3-8c35-8ff0c68047bd,3,1,4,D,,http://www.manifeste.attac.org
848e004c-f15a-47c8-a471-0bcdf6727f78,19,8,27,A,object,http://www.co-recyclage.com
eecd338e-0dc1-4d89-8ffc-4acaeb4bf6d6,6,8,14,E,group,http://gpclimat.be/notre-charte/
8a0e33af-e8a9-4057-8df3-ac8b6a4a1103,27,17,44,A,,http://universite-du-nous.org/a-propos-udn/ses-outils/
80cbfe33-06c5-4e9d-8441-c205f4bbf075,19,1,20,A,,http://leclimatchange.fr/questions-reponses/
71739112-2dc5-48ab-b57e-45063c83fa19,11,30,41,A,list,http://www.spirale.attac.org
516aa23d-f809-4c50-a8f0-27c96dc83e91,33,28,61,C,,http://www.primitivi.org
d5cde0c9-19bd-4d03-bf7e-407c5ac937c6,12,22,34,E,act love,https://brigadeclowns.wordpress.com/le-manifeste-de-larmee-des-clowns/
37564bd5-4264-4255-a44b-23e135afd0da,7,6,13,C,text web,http://les451.noblogs.org/post/2012/11/22/la-querelle-des-modernes-et-des-modernes/
944917b1-b27c-41b9-b164-92c0e9a9d78f,5,3,8,C,,http://www.perou-paris.org/Manifeste.html
42930fa0-1e2a-4a41-876b-be70cf907d9d,1,1,2,F,,http://asso.apne.free.fr
600fc5c3-9fe7-4d6a-aecd-9eb0eefbe862,30,15,45,F,home,http://www.jeudi-noir.org
