name,address,lat,lng,scale,contact,web,description,source,tags
Atelier de la Vélorution,6 rue Jacques Cœur Paris 75004,48.8523,2.3673,,contact@velorution.org - http://www.velorution.org/paris/atelier,,"<div><span class=""l"">En deux mots:</span>&nbsp;Vélos!</div><div><span class=""l"">Activité Principale:</span>&nbsp;Ateliers de réparation de vélos participatifs, solidaire et de recyclage</div><div><span class=""l"">La Récup':</span>&nbsp;Récup de vélos en décheteries, syndics, par des particuliers etc... Les adhérents coopérateurs viennent à l'atelier apprendre à réparer leur vélo à l'aide de pièces et cadres de récup.</div><div><span class=""l"">Infos:</span>&nbsp;mardi et jeudi: 16h-21h et dimanche 14h-19h</div><div><span class=""l"">En échange:</span>&nbsp;prix libre à partir de 10 euros</div><div><span class=""l"">Autres infos:</span>&nbsp;Vélorution est une asso millitante qui prônent l'usage principale du vélo dans la ville. Nous appellons tous les FrancilienNEs à venir rouler ensemble chaque premier samedi du mois à 14h, place de la Bastille.   http://www.velorution.org/paris</div><div><span class=""l"">Catégorie:</span>&nbsp;Ateliers vélos</div>",fucrecup,Ateliers vélos
Sans Plomb,9 rue Ernest Renan Ivry-sur-Seine 94200,48.8115,2.398,,okhaos@gmail.com - http://www.okhaos.com/index.php?what=portfolio,,"<div><span class=""l"">En deux mots:</span>&nbsp;materiaux recyclés de tout type, matière première pour artistes créatifs !</div><div><span class=""l"">Activité Principale:</span>&nbsp;Collectif artistique comprenant des arts de tout genre dont: Sculptures en métal, peinture, dessein, dance, théatre, musique, construction, bricolage.</div><div><span class=""l"">La Récup':</span>&nbsp;Nous récupérons tout ce qui nous semble pouvoir être utile pour la création artistique, du métal, du bois, du plastique, des composants electriques, etc.</div><div><span class=""l"">Infos:</span>&nbsp;ouvert tous les jours, specifiquement tous les dimanches à partir de 14h: atelier de partage des connaissances</div><div><span class=""l"">En échange:</span>&nbsp;gratuit, vous pouvez amener des matériaux qui ve nous servent pas si vous le désirez.</div><div><span class=""l"">Catégorie:</span>&nbsp;Ateliers divers</div>",fucrecup,Ateliers divers
Filles du Facteur,2 place de la Fraternité Montreuil 93100,48.8569,2.4226,,contact@fillesdufacteur.org - http://fillesdufacteur.com,,"<div><span class=""l"">En deux mots:</span>&nbsp;transformation des sachets plastique pouren faire des fleurs ou des guirlandes ou des objets au crochet</div><div><span class=""l"">Activité Principale:</span>&nbsp;L'association crée un lien entre les femmes au delà des frontières.  Elle initie les femmes à la technique du crochet à partir des sacs plastique récupérés.  Cette activité leur apporte des revenus, les aide à acquérir leur autonomie et les sensibilise aux problématiques écologiques à travers le recyclage.</div><div><span class=""l"">La Récup':</span>&nbsp;Nous collectons les sacs plastique car aucun contenant de tri n'existe à cet effet.Ici, il y a beaucoup de couleurs, à cause de notre surconsommation.  Là-bas en Afrique sévit le sachet noir. Un réseau de convoyeurs solidaires achemine les sachets de couleurs auprès des femmes crocheteuses. Les femmes mettent de la couleur dans leur création, et les objets reviennent sur le marché occidental : la spirale du recyclage crée un lien entre les femmes, les cultures, le Nord et le Sud.</div><div><span class=""l"">En échange:</span>&nbsp;On collecte les sacs plastique, plutôt de belles couleurs, fins, comme sur les marchés. L'initiation au crochet et à la fabrication de fleurs est gratuite.</div><div><span class=""l"">Catégorie:</span>&nbsp;Ateliers divers</div>",fucrecup,Ateliers divers
La Chorba,"87, boulevard Poniatowski Paris 75012",48.834,2.4033,,lachorba.asso@free.fr - http://lachorba.com/,,"Préparation et distribution d'une aide alimentaire — L’Association La Chorba, est une association loi 1901, laïque, non confessionnelle et apolitique. Elle a pour objectif principal d’œuvrer pour la promotion d’actions humanitaires afin de contribuer aux valeurs universelles de partage et de solidarités envers les couches sociales les plus défavorisées, ainsi que la mise en place d’un lieu d’accueil afin de soutenir et d’orienter les personnes en difficulté. — Le rôle premier de l’Association la Chorba est de nourrir les plus démunis que ce soit par la distribution journalière de repas, les colis alimentaires pour les familles défavorisées mais aussi la distribution de repas lors des maraudes. Les repas sont préparés à partir de produits récupérés sur les marchés, ou auprès de partenaires qui disposent de produits destinés à être détruits...",fucrecup,Compost et alimentation
Wiithaa,"42, rue Sainte Croix de la Bretonnerie Paris 75004",48.8587,2.3547,,nicolas@wiithaa.com - http://www.wiithaa.com,,"<div><span class=""l"">En deux mots:</span>&nbsp;Upcycling</div><div><span class=""l"">Activité Principale:</span>&nbsp;Wiithaa c'est le nom aborigène d'un petit oiseau vivant en Australie, le bowerbird, qui s'amuse à collecter, récupérer et designer son habitat pour charmer sa belle.  A la manière de notre oiseau, nous transformons des déchets en design. Nous parlons d'upcycling, nous recyclons en ajoutant de la valeur. Nous sommes une communauté de designers, architectes, scénographes, décorateurs d'intérieur et paysagistes. Nous donnons une nouvelle vie aux objets, aux matériaux et aux lieux, en proposant des produits, des ateliers et des concours pour démocratiser l'upcycling.</div><div><span class=""l"">La Récup':</span>&nbsp;Nous proposons des objets et des ateliers mais aussi des bases de connaissances autour de l'upcycling sur notre site Internet. Nous participons et organisons des événements, concours et festivals pour les collectivités, les designers et les entreprises pour valoriser les déchets par le design. Nous souhaitons passer d'une économie linéaire à une économie circulaire, c'est ce pourquoi Wiithaa existe.</div><div><span class=""l"">Infos:</span>&nbsp;Nous organisons régulièrement des ateliers d'upcycling dans des lieux variés: espaces de bricolage et coworking, fablabs, ressourceries. Nous nous associons aux événements de développement durable sur les aspects de récupération et de valorisation des déchets. Parfois nous agissons gratuitement dans la rue avec des ateliers de design ouvert au public animés par des professionels de l'upcycling.</div><div><span class=""l"">En échange:</span>&nbsp;Tarifs variable selon l'objet, l'atelier ou la prestations. Nous nous associons aussi bien évidemment sur des opérations gratuites, d'échanges ou des partenariats, pour avancer tous ensemble vers une économie plus juste et plus durable.</div><div><span class=""l"">Catégorie:</span>&nbsp;Ateliers divers</div>",fucrecup,Ateliers divers
L'Etablisienne,88 bld de Picpus Paris 75012,48.8462,2.4014,,laurence@letablisienne.com - http://www.letablisienne.com,,"<div><span class=""l"">En deux mots:</span>&nbsp;Location d'espace de bricolage ; dépôt-vente</div><div><span class=""l"">Numéro de téléphone:</span>&nbsp;01 43 46 35 32</div><div><span class=""l"">Activité Principale:</span>&nbsp;L'Etablisienne est un atelier accessible en libre-service. Ouvert à tous à la location à partir d'une heure et sans engagement. Des cours, stages et accompagnements à la carte sont proposés dans les domaines du meuble : travail du bois, du carton, garnissage de siège...  C'est aussi une boutique, un dépôt-vente et un espace détente ouvert 7/7</div><div><span class=""l"">La Récup':</span>&nbsp;Des ateliers pour apprendre à travailler les matériaux de récupération ( carton, palettes...) sont régulièrement organisés.</div><div><span class=""l"">Infos:</span>&nbsp;Location d'espace 7/7 de 9h à 21h, pour les horaires des cours et stages proposés, se reporter au planning du site.</div><div><span class=""l"">En échange:</span>&nbsp;La location d'espace peut être troquer contre un meuble ou objet de décoration. J'échange aussi la petite quincaillerie, la colle, la peinture....</div><div><span class=""l"">Catégorie:</span>&nbsp;Ateliers divers</div>",fucrecup,Ateliers divers
Montreuil en Transition,Montreuil Montreuil 93100,48.8624,2.4642,city,contact@MontreuilEnTransition.fr - http://www.MontreuilEnTransition.fr,,"<div><span class=""l"">En deux mots:</span>&nbsp;Construisons la Transition tous ensemble !</div><div><span class=""l"">La Récup':</span>&nbsp;MeT supporte TOUS les acteurs locaux de la Récup Pour réaliser, ensemble, une véritable société circulaire et sans déchet !</div><div><span class=""l"">Catégorie:</span>&nbsp;Militantisme</div>",fucrecup,Militantisme
Xerographes,19 rue Cavé Paris 75018,48.8867,2.3541,,ecolographes@gmail.com - http://ecolographes.canalblog.com/,,"<div><span class=""l"">En deux mots:</span>&nbsp;DECO AVEC LES ENFANTS</div><div><span class=""l"">Activité Principale:</span>&nbsp;les Xérographes, maison d'édition associative, édite, entre autres, des livres d'explorations urbaines participatifs, dont le livre ''jardiniers du bitume (des liens fleurissent dans les jardins partagés)''</div><div><span class=""l"">La Récup':</span>&nbsp;les ateliers écolographes, ateliers peinture, recyclage et jardinage pour enfants du quartier de 5 à 11 ans</div><div><span class=""l"">Infos:</span>&nbsp;tous les mercredis de 15h à 17h à l'atelier-librairie des Xérographes</div><div><span class=""l"">En échange:</span>&nbsp;tarifs selon revenus, echanges possibles</div><div><span class=""l"">Catégorie:</span>&nbsp;Ateliers divers</div>",fucrecup,Ateliers divers
Amelior,17 rue adelaïde lahaye Bagnolet 93170,48.8675,2.417,,,,"<div><span class=""l"">En deux mots:</span>&nbsp;droit a la biffe</div><div><span class=""l"">Activité Principale:</span>&nbsp;ameliorer les conditions de travail et de vies des biffin.e.s; créer un circouit court entre adherents  biffins  et consommateurs , faire reconnaitre l'utilité des biffins en ville, organiser des marchés des biffins brocantes et vides greniers...</div><div><span class=""l"">La Récup':</span>&nbsp;la biffe</div><div><span class=""l"">Catégorie:</span>&nbsp;Militantisme</div>",fucrecup,Militantisme
compostage urbain,107 rue de reuilly Paris 75012,48.8424,2.3928,,info@compostaparis.fr - http://www.compostaparis.fr,,"<div><span class=""l"">En deux mots:</span>&nbsp;compostage urbain</div><div><span class=""l"">Activité Principale:</span>&nbsp;Promotion du compostage urbain.</div><div><span class=""l"">La Récup':</span>&nbsp;Mise en place de compost en pied d'immeuble.</div><div><span class=""l"">Catégorie:</span>&nbsp;Compost et alimentation</div>",fucrecup,Compost et alimentation
