name,address,lat,lng,scale,contact,web,description,source,tags
Hab-Fab,"12 rue du Commerce, 34000 Montpellier",43.602774,3.868694,,contact@hab-fab.com,http://www.hab-fab.com,Coopératives ayant comme vocation  le développement et l'accompagnement de projets d'habitat participatif dans la région Occitanie.,misc,home up1610
"La Goronnière, GAEC Radis & Co",Montflours,48.184135,-0.7332824,,,http://radis.et.compagnie.free.fr/,Ferme La Goronnière. voir https://www.mediapart.fr/portfolios/militer-autrement-la-ferme-la-revolution-sans-pretention,misc,agriculture up1610
Le Carrouège/ éco-lieu du Morvan,"Carrefour de vauclaix, 58140 Vauclaix",47.232066,3.824625,,ecolieu@adretmorvan.org,http://www.adretmorvan.org,"L’écolieu est le résultat d’une démarche citoyenne, collective et coopérative. Cette aventure a débuté de manière effective lors d’une réunion de présentation le 19 octobre 2014. Un groupe d’environ 30 personnes s’est constitué. Organisées en groupes de travail, elles ont donné vie au projet. L’écolieu du Morvan,  ""Le Carrouège"", a ouvert ses portes le 16 mai 2015.",misc,home eat up1610
Le CLAC,Vallon de Londres - Plateau de Viols (Hérault - 34) ,43.7908,3.73167,,,http://wiki.coop-tic.eu/wikis/clac/wakka.php?wiki=PagePrincipale,"Le Collectif Local d'Actions Citoyennes du vallon de Londres et du plateau Violien est un espace d'expériences sociales de proximité qui vise à fédérer les habitants, lancer des initiatives et être force de proposition. Réseau informel, auto organisé et indépendant, né le 6 juin 2015, il s'inscrit dans une démarche de solidarité et de développement local et durable.",misc,group up1610
Ecole Montessori Gondecourt,"97 rue de la barre, 59147 Gondecourt",50.33138,2.58336,,contact@montessori-gondecourt.fr,http://www.montessori-gondecourt.fr,"L’école est une association loi 1901 à but non lucratif et d’intérêt général, basée à Gondecourt, près de Lille.  Situé sur un terrain maraîcher d'agriculture biologique, notre yourte accueillera en octobre 2016, 17 enfants de 3 à 6 ans, encadrés par deux éducatrices formées à la pédagogie Montessori et ) la communication bienveillante.  L’association repose sur les valeurs suivantes : le respect (des enfants, des hommes, de l’environnement), le partage et l’échange.  Nous souhaitons promouvoir la pédagogie Montessori, la communication non violente, la bienveillance, la discipline positive, mais aussi la permaculture. L’école organisera des ateliers Montessori pour les enfants et des conférences autour de la parentalité afin de faire découvrir ces notions au delà du cercle des parents d’élèves.",misc,education up1610
"café associatif ""les femmes s'inventent""","10 rue Léon Schwartzenberg, 75010 Paris",48.875911,2.353765,,cafelesfemmessinventent@gmail.com,https://www.facebook.com/cafelesfemmessinventent/,"Café restaurant citoyen, associatif, collaboratif, ouvert à tous les habitants désireux de s’impliquer dans la vie de leur quartier, animés par les valeurs de mixité, de solidarité et d’égalité.'Lieu d’échange, du partage qui reprend le sens du verbe « restaurare, nourrir, réparer, reconstruire. 'Espace de débats, d’ateliers, de projections, d’expérimentations. Le café n’a aucun but lucratif.",misc,eat creation up1610
grainothèque,"31 rue du Centre, 4140 Sprimont",50.5033783,5.6616762,,bibliosprim@gmail.com,http://bibliothèquedesprimont.be,,misc,words up1610
réZonance,"Le Village, 07200 St Etienne de Boulogne",44.6987136,4.4781564,,sylvain.lion@rezonance.media,http://rezonance.media,"Média participatif de proximité, implicant les habitants des territoires d'intervention, et mettant en valeur des propositions d'alternatives.",misc,media video audio up1610
Paul à Bugarach,11190 Bugarach,42.8667,2.38333,,paul.bugarach@outlook.com,https://www.facebook.com/paul.bugarach,"montagne sacrée, ésoterisme et extraterrestres - très bonne eau de source non calcaite, très belle montée au pic en 1h30 panorama divin, habitants agréables, petit lac",misc,love earth creation up1610
Vers l'écolieu,137 avenue de choisy 75013 Paris,48.8255106,2.604,,verslecolieu@gmail.com,http://www.ecolieu.fr,"Groupe associatif convivial, évolutif et inclusif ayant pour but de fédérer des porteurs de projets avant de prévoir une installation commune à partir de 2019. Organise de nombreuses rencontres thématiques autour de la découverte d'initiatives alternatives.",misc,group home up1610
Stick,"19 route des romain koenigsoffen, Strasbourg",48.5798903,7.7193798,,ateliervelokoenigshoffen@gmail.com,,Auto réparation de vélo (affilié a Bretz selle),misc,move object up1610
Coopérative Andines,"5 Rue de La Poterie, 93200 Saint-Denis",48.94362,2.3449117,,andines@nnx.com,http://www.andines.com,"Cooperative pour une économie équitable, respectueuse des hommes et de la nature",misc,work economy up1606
PARTAGIR,34500 BEZIERS,43.3494637,3.1691589,city,contact@partagir.com,http://www.partagir.fr,"Partagir peut être une aide efficace au mouvement citoyen ""Nuit debout"" en train de naître. En effet, nous nous sommes organisés sur la base des textes fondateurs des cercles de Podemos en Espagne, et nous nous sommes entraînes à maîtriser la méthode utilisé par les citoyens de Saillans dans la Drôme pour co-diriger le village avec des citoyens élus et choisis par eux... Nous pouvons donc aider à créer la continuité et le développement des nombreuses commissions thématiques qui se sont créés à ""Nuit debout"".",misc,group up1606
"LE PETIT GRAIN, café associatif","20, rue albert 1er - 83630 Bauduen",43.616667,6.233333,,cafe.petitgrain@gmail.com,http://www.leplancherdeschevres.fr,"Le Petit Grain est un café associatif géré par l'association Le Plancher des Chèvres. Il propose une programmation éclectique plusieurs fois par semaine : ateliers, projections, conférences, spectacles, concerts... Derrière le bar vous trouverez des bénévoles pour vous servir des boissons locales et/ou biologiques. Placé sous le signe de la convivialité (borne ""livre service"", ludothèque...) c'est un endroit pensé par et pour les habitants du territoire mais aussi pour les visiteurs curieux de sortir des sentiers du tourisme de masse. Afin de pouvoir consommer dans notre café il vous faudra devenir adhérent de l'association (en prix libre, minimum 1€).  consultez notre programme sur notre site internet : http://leplancherdeschevres.fr/cafe.html ",misc,eat creation up1606
Coopérative d'Activités et d'Entrepreneurs MOSAÏQUE,"28 rue du grand pré, 04130 Volx",43.875766,5.844823,,cae.mosaique@live.fr,http://www.caemosaique.fr/,"Une coopérative d'activités est une entreprise partagée. C'est une alternative à la création d'entreprise individuelle, Un cadre collectif et coopératif innovant qui permet de développer des activités diverses en mutualisant outils, compétences et savoir-faire.",misc,work economy up1606
Pro Bono Lab,"132 rue Martre, 92110 Clichy",48.907414,2.302417,,contact@probonolab.org,http://www.probonolab.org,Pro Bono Lab est un laboratoire d'innovation citoyenne spécialisé en bénévolat de compétences et mécénat de compétences,misc,work up1606
Locaux Motiv',"10 bis rue Jangot, 69007 Lyon",45.7517287,4.8403026,,contact@locauxmotiv.fr,http://www.locauxmotiv.fr,"Locaux Motiv' est un tiers-lieu associatif. 600 m2 d'espaces de travail, de rencontres, de convivialité mutualisés, des projets menés par Locaux Motiv' avec les acteurs du territoire. Une soixantaine d'acteurs associatifs, entreprises, collectifs informels mutualisent, coopérent et animent, à la fois leurs propres projets et en iien avec les projets de Locaux Motiv'. ",misc,work economy up1606
Syndicat Potentiel,"13 rue des Couples, 67000 Strasbourg",48.579086,7.7511208,,syndicatpotentiel@gmail.com,http://syndicatpotentiel.free.fr,"A Strasbourg, le Syndicat Potentiel est un espace de création, de rencontres et d'expériences artistiques. Il a été initié en 1992 sous la forme d'une association (Le Faubourg) regroupant une dizaine d'étudiants de la HEAR - Haute Ecole des Arts du Rhin* à Strasbourg dans le but de constituer un espace indépendant de diffusion d'art contemporain. Depuis près de 25 ans une programmation annuelle d’expositions anime son espace, impliquant des artistes plasticiens, des collectifs, des associations, des réseaux artistiques et des partenariats multiples et variés. Le projet artistique actuel du Syndicat Potentiel est de susciter des croisements nouveaux entre la création artistique contemporaine et des questionnements propres au monde d'aujourd'hui, qu'ils soient d'ordres sociaux, économiques, politiques, écologiques…. Depuis sa création plus de 250 expositions ont été ainsi organisées, invitant prés de 600 artistes plasticiens et autres intervenants. ",misc,creation up1606
grain de SEL,"les bois de la justice, 28410 Bû",48.8118895,1.500052,,grainsel@gmail.com,http://grain2sel.net,"Un système d'échange local est un système d'échange alternatif au système monétaire et économique traditionnel. Il rassemble au sein d'une association ou d'un réseau des personnes qui échangent entre elles des biens et des services, sans souci mercantile et sans utiliser d'argent.",misc,work economy up1606
