"ajout ou modification des lieux de la carte du site http://utopies-concretes.org",,,,,,,,,,,,,,,,,,
"ATTENTION ! ne pas copier coller: saisir dans une nouvelle ligne les informations pour ne pas affecter les autres ajouts",,,,,,,,,,,,,,,,,,
NOM,ADRESSE,LAT,LNG,SCALE,CONTACT,WEB,DESCRIPTION,SOURCE,TAGS,COMMENTAIRE,,,,,,,,
"(exemple) Coopérative Amour et eau fraîche","32 rue Poulain, 43655 Bourquet",45.3423,2.45298,"vide, sauf si concerne toute une ""city"" ou ""region""",bourquet@coopfraiche.com,http://bourquetsite.youpi.fr,"La coopérative organise des rencontres hebdomadaires entre jeunes et moins jeunes autour d'un verre partagé puis d'une projection amicale avec produits régionaux, échanges, discussions","misc (pour les nouveaux lieux)","eat creation (voir les catégories sur utopies-concretes)","c'est un exemple !",,,,,,,,
"renseignez vos informations dans une nouvelle ligne ci-dessous !",,,,,,,,,,,,,,,,,,
"la roulotte ",minervois,,,,viven.olivier@neuf.fr,,"lieux de vie nomade familial , creation de biodiversité, autonomie alimentaire, entretien des forets voisines risques d'incendies, nous cherchons un couple en habitat nomades pour  s'investir humainement sur le lieux",,,"préciser la location !",,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"la Dar Lamifa","127,rue d'aubagne 13006 Marseille",43.292932,5.382856,,communication@darlamifa.org,http://www.darlamifa.org,"café associatif, centre sociale autogéré. A pour visé d'aider à l'epanouissement populaire par le bié de l'éducation populaire. l'accé à la culture pour tous, le soutien aux luttes et alternatives de socièté. ",misc,up1811,,,,,,,,,
ODASS,"121 rue de Paris 91120 Palaiseau",46.713592,2.244478,,contact@odass.org,http://www.odass.org,"SCOP et bientôt SIC pour la conception et réalisation d'outil opensource libre à destination des acteurs solidaires et sociaux",misc,"web up1811",,,,,,,,,
"C'est déjà ça","17 rue Chef de Ville 77730 Saâcy-sur-Marne",48.961687,3.209698,,"cafelibrairie@cestdejaca.fr ",http://www.cestdejaca.fr,"Café culturel associatif acteur du commerce équitable et de la transition socio-écologique. Café, bibliothèque collaborative, spectacles, conférences-débats, ateliers, expos, zone de gratuité, produits locaux et biologiques, boutique Artisans du Monde...",misc,up1811,,,,,,,,,
"La Gonette","4, rue Imbert Colomès, Lyon",45.771326,4.83195,,communication@lagonette.org,http://www.lagonette.org,"Association de La Gonette, Monnaie Locale et Citoyenne de Lyon. ",misc,"economy up1811",,,,,,,,,
"Boulangerie associative Les turlupains","5, rue de la fontaine 56000 VANNES",47.659189,-2.754496,,"lepaindanstouslessens@gmail.com ",http://www.lesturlupains.fr/,"Boulangerie associative, qui réalise du pain bio au levain petri à la main et cuit au four à pain à l'aide de fagot récolter par les adhérants",misc,"eat up1811",,,,,,,,,
