Id,ModularityClass,Degree,OutDegree,InDegree,Tags,Urls
3b2c12b4-6029-4ebf-8572-4beacbc57be3,B,10,2,8,,http://bluetouff.com
aab85e43-caf8-4817-b840-5fc302addfd4,B,99,77,22,subsist law,http://www.centpapiers.com
3c9ca2e0-5811-4267-8dd0-22d250956ef5,C,1,0,1,,http://www.citoyensmilitants.fr
5ad8072e-f882-49ba-8fb5-d2b1526fc971,A,132,98,34,,http://cdurable.info
47beccad-9140-49df-b7d6-048d8ab2b317,B,91,2,89,,http://levif.be http://levif.be/actualite
29fea3e9-24bd-4645-be58-74fbc96848af,B,68,5,63,,http://mesopinions.com http://mesopinions.com/fr
92ed2492-ff52-4e3b-a372-c30238a90eac,B,26,13,13,,http://lalettrevolee.net
a0a6f1c7-2cb3-4c1b-8c76-b2dd98b10ddd,E,17,3,14,map,http://lacoroutine.org
c2f1d1cf-f5e2-4900-9d9e-5aaf572643d0,F,90,41,49,calendar,http://gironde.demosphere.eu
12e6c7b8-0825-43e8-a54c-8759c67f8987,NC,2,2,0,,http://www.leszillusdemissbean.com
53edb9c9-e0f6-4799-aaeb-613c8eb906f3,NC,0,0,0,group,http://www.e-constituante.com/le-projet/
411bb15b-a070-4c20-8e62-46ffdd005d72,C,1,0,1,space creation @idf,http://graffiterie.org
a3cc6659-fba2-423d-9e3d-4042ea049796,F,27,24,3,,http://www.underconstruction.fr/?page_id=1493
0a512bd4-8b13-4024-9f6c-975ef78a23f9,NC,0,0,0,,http://www.wearealwayslistening.com
c4fd2a70-c386-46b9-a350-b5c9b38cc1db,D,3,3,0,,http://www.cluetrain.com/manifeste.html
6d36c24f-11f8-46d6-a846-a5d147cb18bc,C,7,1,6,creation,http://bureaudetudes.org
0a62e833-3528-47e3-bc29-9567600fc346,D,25,4,21,,http://tahin-party.org
ee597ca3-e3c4-42a5-a1bc-b073e1bf8ea7,E,31,9,22,politics,http://bienscommuns.org/signature/appel/index.php?a=du&c=qsudxs
b6074abb-62c0-4c0a-95d1-14373c5f088d,E,3,1,2,,http://passansnous.fr/charte/
bbe08af9-2968-4924-b35f-18b2cdd89d41,E,21,16,5,group,http://www.mouv1d.fr/manifeste/
e31555d6-e0b4-466c-8b77-7343b9be00d3,E,32,0,32,web,https://duckduckgo.com
c33a1ced-3c7b-449f-a24b-057ae82ef180,B,277,54,223,media group law,http://www.acrimed.org
dd42c6c9-25e6-4c98-8149-5b12c087cf6a,E,31,22,9,web,http://ggouv.fr
ee7b3328-ebb2-4772-a4c0-d4220720800f,E,3,2,1,,https://medium.com/@nicolasvoisin/le-manifeste-des-anarnautes-48cc0a5076bc
