Id,Tags,Url
3b2c12b4-6029-4ebf-8572-4beacbc57be3,,http://bluetouff.com http://www.bluetouff.com https://bluetouff.com
aab85e43-caf8-4817-b840-5fc302addfd4,subsist law,http://www.centpapiers.com
3c9ca2e0-5811-4267-8dd0-22d250956ef5,,http://www.citoyensmilitants.fr
5ad8072e-f882-49ba-8fb5-d2b1526fc971,,http://cdurable.info
47beccad-9140-49df-b7d6-048d8ab2b317,,http://levif.be http://www.levif.be http://www.levif.be/actualite/ https://www.levif.be
29fea3e9-24bd-4645-be58-74fbc96848af,,http://mesopinions.com http://www.mesopinions.com http://www.mesopinions.com/fr
92ed2492-ff52-4e3b-a372-c30238a90eac,,http://lalettrevolee.net
a0a6f1c7-2cb3-4c1b-8c76-b2dd98b10ddd,map,http://lacoroutine.org
c2f1d1cf-f5e2-4900-9d9e-5aaf572643d0,calendar,http://gironde.demosphere.eu
e823bf21-310c-45c9-99b2-5956090575a7,,http://generations-futures.fr http://mdrgf.org http://www.generations-futures.blogspot.fr/ http://www.generations-futures.fr http://www.mdrgf.org https://twitter.com/genefutures https://www.facebook.com/GenerationsFutures
12e6c7b8-0825-43e8-a54c-8759c67f8987,,http://www.leszillusdemissbean.com
53edb9c9-e0f6-4799-aaeb-613c8eb906f3,group,http://www.e-constituante.com/le-projet/
eb3c2e86-0f41-446d-af11-260503264e55,,http://laufenmanifesto.org
411bb15b-a070-4c20-8e62-46ffdd005d72,space,http://graffiterie.org
d9818d57-2d27-4690-aaeb-de9548f955a0,video,https://www.youtube.com/watch?v=Ld2jPJPnuc8
18ec2e2e-10ca-49d6-9db9-09585de3a7d3,video,https://www.youtube.com/watch?v=6DgOE9KZZME
2b86fa13-81bf-451e-8741-d057e5307795,video,https://www.youtube.com/watch?v=jid2A7ldc_8
a3cc6659-fba2-423d-9e3d-4042ea049796,,http://www.underconstruction.fr/?page_id=1493
0a512bd4-8b13-4024-9f6c-975ef78a23f9,,http://www.wearealwayslistening.com
c4fd2a70-c386-46b9-a350-b5c9b38cc1db,,http://www.cluetrain.com/manifeste.html
6d36c24f-11f8-46d6-a846-a5d147cb18bc,creation,http://bureaudetudes.org
0a62e833-3528-47e3-bc29-9567600fc346,,http://tahin-party.org
811985f4-4011-4069-96a3-abf615235228,map,http://www.tourdefrancedesalternatives.fr/alternatives/
ee597ca3-e3c4-42a5-a1bc-b073e1bf8ea7,politics,http://bienscommuns.org/signature/appel/index.php?a=du&c=qsudxs
b6074abb-62c0-4c0a-95d1-14373c5f088d,,http://passansnous.fr/charte/
bea9b145-a596-48e6-b7b6-21f379d66238,media,http://www.limpossible.fr
bbe08af9-2968-4924-b35f-18b2cdd89d41,group,http://www.mouv1d.fr/manifeste/
e31555d6-e0b4-466c-8b77-7343b9be00d3,web,https://duckduckgo.com
c33a1ced-3c7b-449f-a24b-057ae82ef180,media group law,http://www.acrimed.org
dd42c6c9-25e6-4c98-8149-5b12c087cf6a,web,http://ggouv.fr
ee7b3328-ebb2-4772-a4c0-d4220720800f,,https://medium.com/@nicolasvoisin/le-manifeste-des-anarnautes-48cc0a5076bc
17703812-d127-442c-b55b-72741d4a1dee,group,http://www.lesconvivialistes.org/abrege-du-manifeste-convivialiste
495d6ccd-e5b3-47ca-90d9-e863545595fc,,http://www.dailymotion.com/video/xtrtht
27038f1b-93e6-41ac-86aa-b0cd6902d4b1,act,http://beautifultrouble.org
