ID,Tags,NAME,START PAGES
3b2c12b4-6029-4ebf-8572-4beacbc57be3,,Bluetouff,http://bluetouff.com http://www.bluetouff.com https://bluetouff.com
aab85e43-caf8-4817-b840-5fc302addfd4,subsist law,Centpapiers,http://www.centpapiers.com
3c9ca2e0-5811-4267-8dd0-22d250956ef5,,Citoyensmilitants,http://www.citoyensmilitants.fr
5ad8072e-f882-49ba-8fb5-d2b1526fc971,,Cdurable.Info,http://cdurable.info
47beccad-9140-49df-b7d6-048d8ab2b317,,Levif,http://levif.be http://www.levif.be http://www.levif.be/actualite/ https://www.levif.be
29fea3e9-24bd-4645-be58-74fbc96848af,,Mesopinions,http://mesopinions.com http://www.mesopinions.com http://www.mesopinions.com/fr
92ed2492-ff52-4e3b-a372-c30238a90eac,,Lalettrevolee,http://lalettrevolee.net
a0a6f1c7-2cb3-4c1b-8c76-b2dd98b10ddd,map,Lacoroutine,http://lacoroutine.org
c2f1d1cf-f5e2-4900-9d9e-5aaf572643d0,calendar,Gironde.Demosphere,http://gironde.demosphere.eu
e823bf21-310c-45c9-99b2-5956090575a7,,Generations-futures,http://generations-futures.fr http://mdrgf.org http://www.generations-futures.blogspot.fr/ http://www.generations-futures.fr http://www.mdrgf.org https://twitter.com/genefutures https://www.facebook.com/GenerationsFutures
12e6c7b8-0825-43e8-a54c-8759c67f8987,,Leszillusdemissbean,http://www.leszillusdemissbean.com
53edb9c9-e0f6-4799-aaeb-613c8eb906f3,group,E-Constituante,http://www.e-constituante.com/le-projet/
eb3c2e86-0f41-446d-af11-260503264e55,,Laufenmanifesto,http://laufenmanifesto.org
411bb15b-a070-4c20-8e62-46ffdd005d72,space creation @idf,Graffiterie,http://graffiterie.org
a3cc6659-fba2-423d-9e3d-4042ea049796,,Underconstruction,http://www.underconstruction.fr/?page_id=1493
0a512bd4-8b13-4024-9f6c-975ef78a23f9,,Wearealwayslistening,http://www.wearealwayslistening.com
c4fd2a70-c386-46b9-a350-b5c9b38cc1db,,Cluetrain,http://www.cluetrain.com/manifeste.html
6d36c24f-11f8-46d6-a846-a5d147cb18bc,creation,Bureaudetudes,http://bureaudetudes.org
0a62e833-3528-47e3-bc29-9567600fc346,,Tahin-Party,http://tahin-party.org
ee597ca3-e3c4-42a5-a1bc-b073e1bf8ea7,politics,Bienscommuns,http://bienscommuns.org/signature/appel/index.php?a=du&c=qsudxs
b6074abb-62c0-4c0a-95d1-14373c5f088d,,Passansnous,http://passansnous.fr/charte/
bbe08af9-2968-4924-b35f-18b2cdd89d41,group,Mouv1d,http://www.mouv1d.fr/manifeste/
e31555d6-e0b4-466c-8b77-7343b9be00d3,web,Duckduckgo,https://duckduckgo.com
c33a1ced-3c7b-449f-a24b-057ae82ef180,media group law,Acrimed,http://www.acrimed.org
dd42c6c9-25e6-4c98-8149-5b12c087cf6a,web,Ggouv,http://ggouv.fr
ee7b3328-ebb2-4772-a4c0-d4220720800f,,Medium /@nicolasvoisin,https://medium.com/@nicolasvoisin/le-manifeste-des-anarnautes-48cc0a5076bc
495d6ccd-e5b3-47ca-90d9-e863545595fc,,Dailymotion /.../xtrtht,http://www.dailymotion.com/video/xtrtht
27038f1b-93e6-41ac-86aa-b0cd6902d4b1,act,Beautifultrouble,http://beautifultrouble.org
c149e798-a886-4967-8e4c-dd8f8a2b38c1,map list,Capoupascap,http://capoupascap.paris
4cc6adca-5872-402d-aa7b-d2d2b5d754a9,,Elanglobal,http://elanglobal.org
59ac07a6-17a8-43fc-80a7-7ff045985c51,,15mpedia,https://15mpedia.org
925e202e-fe71-449e-9885-1ff857b30fbc,,Mouvement-Zeitgeist,http://www.mouvement-zeitgeist.fr/agir/individuellement/charte-du-mouvement
8488bd0f-d50f-4e0c-83a1-2dd6d29a054c,,Reseauculture21,http://reseauculture21.fr/amacca/le-reseau/
2e5cfa40-85a6-44be-bde3-b2141ba60eaf,media video,Reporter-Citoyen,http://www.reporter-citoyen.fr
2810a095-43ac-4eb9-96f1-ca5a28be23a0,,Slowfood,http://www.slowfood.fr/slow-food-en-france
17a23ccc-03aa-47d8-930a-d0e208dd9c38,video,Pierrecarles,http://www.pierrecarles.org
c283fe79-6120-4387-b45e-7c5d3de3a6d4,,guide.Boum,https://guide.boum.org
9c7d00eb-c0d0-48a0-b0d6-46b7a4e153ed,media,Zangomedia,http://zangomedia.fr
dc174ce9-556f-44dc-97ac-b1c05fe422a7,map,Google /.../embed ?mid=zObc46bS4Jts.kM-SMEA0C_m8,https://www.google.com/maps/d/embed?mid=zObc46bS4Jts.kM-SMEA0C_m8
538ac740-1b91-464c-bf5a-7efe5a5953fb,politics,M6r,https://www.m6r.fr
16512366-76c7-49a3-82c8-8c96ca4eb53d,group,Partipirate,https://www.partipirate.org/Declaration-de-politique-generale-112
95a0acca-6d66-4571-8461-2e056cb90e9a,,Ecosocietal,http://www.ecosocietal.org/articles.php?lng=fr&pg=18
7ae978d7-f9e2-48e9-9a76-207d2d1f5064,slow,Decroissance,http://www.decroissance.qc.ca/manifeste
cb23d909-073e-4cf3-9211-b3a6653e293a,video,Vimeo /37089032,https://vimeo.com/37089032
5a85ec9b-1d7a-4e5d-a09b-661a157b38d2,object,Jedonne,http://www.jedonne.org
0cf251e4-90fa-49a5-93f8-99e848e8d074,,Alliancecitoyenne-38,http://www.alliancecitoyenne-38.fr/le-projet-2/lassociation/
b4a414ff-3ffa-4589-b63e-809de0713a2f,home,Twitter /generationpreca,https://twitter.com/generationpreca
95564e52-8876-4c6c-ad53-6f1399740a43,creation,Les-Saprophytes,http://www.les-saprophytes.org/index.php?cat=sapro
e07ba353-4dd9-4ca4-b03b-400c38240165,text,Lyber-Eclat,http://www.lyber-eclat.net/lyber/bolo/bolo.html
8c1a8d85-46a8-4422-af8a-2d5b9eec8bf5,web,Torproject,https://www.torproject.org
07719734-4589-4c3d-8045-2dbb947f0e8c,,abecedaireduchangement.Wordpress,https://abecedaireduchangement.wordpress.com/2012/05/11/avant-propos-2/
